cell_id,latitude,longitude,ward_name,zone,distance_to_yamuna_m,rain_1h_mm,rain_3h_mm,rain_24h_mm,rain_forecast_3h_mm,elevation_m,slope_percent,impervious_ratio,drain_density,drain_capacity_score,drain_blockage_risk,yamuna_level_m,flooded_before,flood_frequency,citizen_reports_count,avg_reported_depth_cm,max_flood_depth_cm,flood_risk_level
1000,28.5692,77.2723,Patparganj,East,2233.6,11.8,30.6,69.9,35.1,210.0,2.3,0.62,0.44,0.65,0.69,204.2,0,1,7,15.3,16.7,1
1001,28.6268,77.1695,Patel Nagar,West,5899.9,4.0,12.4,32.3,15.3,220.4,4.4,0.59,0.46,0.69,0.51,203.6,0,0,0,7.5,0,0
1002,28.5543,77.0654,Dwarka Sector 8,South West,8868.3,4.0,13.5,37.2,16.1,223.5,4.7,0.75,0.47,0.71,0.47,203.3,0,0,0,3.6,0,0
1003,28.6855,77.2157,Kashmere Gate,Central,2977.6,29.6,81.2,141.1,99.4,219.4,3.6,0.71,0.63,0.48,0.78,205.1,0,1,18,60.1,83.4,2
1004,28.4904,77.1418,Vasant Vihar,South,9789.8,13.6,47.5,92.1,56.9,221.8,4.0,0.57,0.59,0.64,0.77,204.4,0,0,1,0.1,0,1
1005,28.5392,77.2679,Okhla Phase 3,South East,3974.9,1.4,4.4,13.4,4.6,221.0,4.9,0.82,0.48,0.79,0.42,203.5,0,0,3,4.2,11.0,0
1006,28.5339,77.0401,Dwarka Sector 23,South West,9577.0,8.1,19.6,39.5,21.0,221.8,1.3,0.78,0.39,0.81,0.54,203.8,0,0,0,6.5,0,0
1007,28.6592,77.2867,Shakarpur,East,2552.4,5.3,18.1,45.2,19.6,207.0,3.8,0.6,0.41,0.79,0.51,203.6,0,1,2,4.5,10.5,0
1008,28.5758,77.2128,Safdarjung Enclave,South,5000.3,0.7,2.1,5.6,2.3,225.6,5.4,0.59,0.45,0.83,0.43,203.3,0,0,2,0,4.2,0
1009,28.6703,77.2145,Sadar Bazaar,Central,3725.2,16.2,54.9,91.9,67.2,215.9,4.5,0.84,0.57,0.64,0.73,204.8,0,1,6,24.1,27.9,1
1010,28.5341,77.3039,Kalindi Kunj,South East,3795.1,2.2,5.6,18.4,6.0,219.0,1.5,0.59,0.58,0.81,0.45,203.4,0,1,2,1.6,3.2,0
1011,28.7423,77.0372,Rohini Sector 17,North West,8933.0,1.4,3.6,12.1,4.5,220.4,4.1,0.85,0.68,0.73,0.46,203.3,0,1,1,0.5,5.1,0
1012,28.6259,77.2849,Nirman Vihar,East,2028.4,11.0,32.1,59.9,34.0,211.4,5.3,0.69,0.55,0.72,0.57,204.4,0,0,0,0,4.6,0
1013,28.6657,77.2629,Geeta Colony,East,2773.3,16.5,48.7,107.1,56.6,206.2,2.0,0.62,0.45,0.55,0.69,204.6,0,1,16,34.5,99.2,2
1014,28.744,77.0442,Rohini Sector 17,North West,8754.4,17.2,41.1,77.2,47.1,221.2,3.6,0.92,0.55,0.65,0.62,204.3,0,1,0,2.7,0,1
1015,28.6376,77.1008,Rajouri Garden Extension,West,6157.3,14.0,36.4,83.6,43.5,217.1,3.5,0.73,0.53,0.68,0.6,204.1,0,1,5,8.1,6.9,0
